DateTime,Latitude,Longitude,Electric Power System > Energy Storage Main > 1 > Battery Space > Power,Electric Power System > Energy Storage Main > 1 > Battery Space > State of Charge,Electric Power System > Generator Set > 1 > Engine > Fuel Rate,Electric Power System > Generator Set > 1 > Engine > Load percentage,Electric Power System > Generator Set > 1 > Engine > Speed,Electric Power System > Generator Set > 1 > Engine > Torque percentage,Electric Power System > Generator Set > 2 > Engine > Fuel Rate,Electric Power System > Generator Set > 2 > Engine > Load percentage,Electric Power System > Generator Set > 2 > Engine > Speed,Electric Power System > Generator Set > 2 > Engine > Torque percentage,Navigation and Communication > Navigation Data > Location Current > Speed Over Ground,Propulsion and Steering > Propulsion Main Electric > Port > Inverter > Power,Propulsion and Steering > Propulsion Main Electric > Starboard > Inverter > Power,Propulsion and Steering > Thruster Electric > Port Aft > Inverter > Power,Propulsion and Steering > Thruster Electric > Port Forward > Inverter > Power
2026-03-02 12:22:00,59.92472,5.31338,22.04,,,,,,,,,,0.0,0.0,0.0,,0.0
2026-03-02 12:23:00,59.92472,5.31336,21.91,59.4,,,,,0.0,0.0,0.0,0.0,0.02,,,,
2026-03-02 12:24:00,59.92471,5.31336,22.99,,0.0,0.0,0.0,0.0,,,,,0.02,,,,
2026-03-02 12:25:00,59.92471,5.31337,23.55,,,,,,,,,,0.02,,,0.0,
2026-03-02 12:26:00,59.92472,5.31338,22.61,,,,,,,,,,0.0,,,,
2026-03-02 12:27:00,59.92471,5.31335,22.99,,,,,,,,,,0.02,0.0,0.0,,0.0
2026-03-02 12:28:00,59.9247,5.31336,19.91,59.3,,,,,0.0,0.0,0.0,0.0,0.02,,,,
2026-03-02 12:29:00,59.92472,5.31338,19.7,,0.0,0.0,0.0,0.0,,,,,0.02,,,,
2026-03-02 12:30:00,59.9247,5.31336,19.31,,,,,,,,,,0.02,,,0.0,
2026-03-02 12:31:00,59.9247,5.31336,19.8,,,,,,,,,,,,,,
2026-03-02 12:32:00,59.92471,5.31337,23.71,,,,,,,,,,0.03,0.0,0.0,,0.0
2026-03-02 12:33:00,59.92472,5.31337,23.88,59.05,,,,,0.0,0.0,0.0,0.0,0.02,,,,
2026-03-02 12:34:00,59.9247,5.31339,23.62,,0.0,0.0,0.0,0.0,,,,,0.02,,,,
2026-03-02 12:35:00,59.9247,5.31336,20.68,,,,,,,,,,0.02,,,0.0,
2026-03-02 12:36:00,59.9247,5.31334,20.06,,,,,,,,,,0.02,,,,
2026-03-02 12:37:00,59.92469,5.31336,19.34,,,,,,,,,,0.0,0.0,0.0,,0.0
2026-03-02 12:38:00,59.9247,5.31336,19.41,58.9,,,,,0.0,0.0,0.0,0.0,0.02,,,,
2026-03-02 12:39:00,59.9247,5.31336,22.79,,0.0,0.0,0.0,0.0,,,,,0.02,,,,
2026-03-02 12:40:00,59.9247,5.31335,21.9,,,,,,,,,,0.02,,,0.0,
2026-03-02 12:41:00,59.9247,5.31335,22.69,,,,,,,,,,0.02,,,,
2026-03-02 12:42:00,59.92471,5.31337,20.74,,,,,,,,,,0.02,0.0,0.0,,0.0
2026-03-02 12:43:00,59.92471,5.31337,20.58,58.75,,,,,0.0,0.0,0.0,0.0,,,,,
2026-03-02 12:44:00,59.92472,5.31337,19.61,,0.0,0.0,0.0,0.0,,,,,0.04,,,,
2026-03-02 12:45:00,59.92472,5.31335,21.18,,,,,,,,,,0.0,,,0.0,
2026-03-02 12:46:00,59.92471,5.31338,22.82,,,,,,,,,,0.03,,,,
2026-03-02 12:47:00,59.92471,5.31337,24.17,,,,,,,,,,0.02,0.0,0.0,,0.0
2026-03-02 12:48:00,59.92469,5.31338,23.07,58.5,,,,,0.0,0.0,0.0,0.0,0.02,,,,
2026-03-02 12:49:00,59.9247,5.31336,22.25,,0.0,0.0,0.0,0.0,,,,,0.02,,,,
